nutrient_id,nutrient_name,unit,life_stage,EAR,RDA,AI,UL,status,source_citation
203,PROTEIN,Gram,infants_0_6m,,,,,pending_curation,
203,PROTEIN,Gram,infants_7_12m,,,,,pending_curation,
203,PROTEIN,Gram,children_1_3y,,,,,pending_curation,
203,PROTEIN,Gram,children_4_8y,,,,,pending_curation,
203,PROTEIN,Gram,males_9_13y,,,,,pending_curation,
203,PROTEIN,Gram,males_14_18y,,,,,pending_curation,
203,PROTEIN,Gram,males_19_30y,46,56,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,males_31_50y,46,56,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,males_51_70y,46,56,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,males_71plus,46,56,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,females_9_13y,,,,,pending_curation,
203,PROTEIN,Gram,females_14_18y,,,,,pending_curation,
203,PROTEIN,Gram,females_19_30y,38,46,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,females_31_50y,38,46,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,females_51_70y,38,46,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,females_71plus,38,46,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,pregnant_19_30y,50,71,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,pregnant_31_50y,50,71,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,lactating_19_30y,60,71,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
203,PROTEIN,Gram,lactating_31_50y,60,71,,,populated,IOM 2005 Table 10-13 p. 685 (protein RDA/EAR by age and sex)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,infants_0_6m,,,,,pending_curation,
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,infants_7_12m,,,,,pending_curation,
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,children_1_3y,,,,,pending_curation,
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,children_4_8y,,,,,pending_curation,
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,males_9_13y,,,,,pending_curation,
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,males_14_18y,,,,,pending_curation,
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,males_19_30y,100,130,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,males_31_50y,100,130,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,males_51_70y,100,130,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,males_71plus,100,130,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,females_9_13y,,,,,pending_curation,
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,females_14_18y,,,,,pending_curation,
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,females_19_30y,100,130,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,females_31_50y,100,130,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,females_51_70y,100,130,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,females_71plus,100,130,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,pregnant_19_30y,135,175,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,pregnant_31_50y,135,175,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,lactating_19_30y,160,210,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
205,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",Gram,lactating_31_50y,160,210,,,populated,IOM 2005 Table 6-2 p. 275 (carbohydrate EAR/RDA)
291,"FIBRE, TOTAL DIETARY",Gram,infants_0_6m,,,,,pending_curation,
291,"FIBRE, TOTAL DIETARY",Gram,infants_7_12m,,,,,pending_curation,
291,"FIBRE, TOTAL DIETARY",Gram,children_1_3y,,,,,pending_curation,
291,"FIBRE, TOTAL DIETARY",Gram,children_4_8y,,,,,pending_curation,
291,"FIBRE, TOTAL DIETARY",Gram,males_9_13y,,,,,pending_curation,
291,"FIBRE, TOTAL DIETARY",Gram,males_14_18y,,,,,pending_curation,
291,"FIBRE, TOTAL DIETARY",Gram,males_19_30y,,,38,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,males_31_50y,,,38,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,males_51_70y,,,30,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,males_71plus,,,30,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,females_9_13y,,,,,pending_curation,
291,"FIBRE, TOTAL DIETARY",Gram,females_14_18y,,,,,pending_curation,
291,"FIBRE, TOTAL DIETARY",Gram,females_19_30y,,,25,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,females_31_50y,,,25,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,females_51_70y,,,21,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,females_71plus,,,21,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,pregnant_19_30y,,,28,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
291,"FIBRE, TOTAL DIETARY",Gram,pregnant_31_50y,,,28,,populated,IOM 2005 Table 7-4 p. 380 (total fibre AI by age and sex)
