Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
BEVERAGES - OVERALL (Dairy beverages are not included),45 - 49 & 51,Both,All ages,19670,99.36420078,1588.357348,16.19653611,1371.535518,16.19653611,2935.052815,43.36926923,3460.036456,56.86808004,23.93239162,0.223178224,20.87347744,0.220876418,42.75276335,0.608876098,51.72728834,0.987302698,1598.520731,16.22604533,1377.170961,15.95765971,2939.209038,43.88755133,3466.447592,57.06692018,24.08396333,0.222640908,20.97891381,0.219421342,42.84491503,0.607740563,51.78327529,1.016877397
BEVERAGES - OVERALL (Dairy beverages are not included),46 - 49 & 51,Both,1-3 Years,1288,94.44395346,497.9500398,19.63738497,410.1798352,19.63738497,999.8151639,73.53153875,1251.985126,43.30514894,35.44501746,1.347862063,28.26174702,1.464895359,70.41517324,2.532690575,83.79773905,4.88937751,527.2439596,20.28101417,446.3433001,27.40959139,1028.391453,80.1050134,1252.03555,40.01991232,37.59689055,1.371966641,30.00949419,1.720682872,71.72058377,2.595512913,84.38593426,4.969382994
BEVERAGES - OVERALL (Dairy beverages are not included),47 - 49 & 51,Both,4-8 Years,1199,98.81496601,719.028919,19.61044835,610.888,19.61044835,1307.108694,56.40053364,1558.835561,83.37767208,32.13660365,0.95887381,28.00840552,0.972947976,59.27596542,2.822429913,72.85167621,4.670021621,727.6518407,19.47958134,618.998353,31.02829,1316.282582,54.96939934,1562.261314,85.17120033,32.52200041,0.956123312,28.07750317,0.920154083,59.28715241,2.819753402,73.16157366,4.68225414
BEVERAGES - OVERALL (Dairy beverages are not included),48 - 49 & 51,Both,9-13 Years,1962,98.23481049,973.3312942,22.59665314,821.1089946,22.59665314,1751.423734,63.81793192,2116.013267,102.3518461,23.43637135,0.544550944,20.98165871,0.432346112,40.39432524,2.006250431,56.4275098,3.336254749,990.8211655,22.77201143,841.4287527,23.1152649,1759.359123,65.73778952,2126.07913,103.0128138,23.85750147,0.549603585,21.13550335,0.457196569,40.77891943,2.020074955,56.72815493,3.300231572
BEVERAGES - OVERALL (Dairy beverages are not included),49 - 49 & 51,Both,14-18 Years,1890,99.09187714,1412.561321,30.51743601,1206.238083,30.51743601,2633.092876,53.56432933,3313.825871,167.549088,21.59916647,0.466419877,18.51166929,0.485031926,38.97341778,1.514061817,47.05767816,1.352395274,1425.506673,30.53606261,1210.980818,26.44680665,2633.839427,54.31791006,3314.215815,162.7816107,21.79711102,0.463836613,18.64908863,0.474238321,39.01594891,1.576501765,47.23239219,1.355152038
BEVERAGES - OVERALL (Dairy beverages are not included),50 - 49 & 51,Both,19-30 Years,1849,99.41586564,1860.913529,64.4787237,1601.789319,64.4787237,3215.073625,185.7349305,4317.472699,296.3504015,25.66250019,0.818338285,22.9663523,0.895893237,45.02378235,2.541716709,56.64641128,2.486721569,1871.847634,64.60311208,1609.424176,54.64891642,3215.546076,193.5258554,4317.510294,292.1942538,25.81328445,0.816525071,23.11432768,0.890821276,45.31237307,2.529525516,56.65681435,2.465674943
BEVERAGES - OVERALL (Dairy beverages are not included),51 - 49 & 51,Both,31-50 Years,4389,99.75510794,1840.058197,31.7683156,1630.33752,31.7683156,3144.38141,79.32841686,3846.326584,93.84572964,23.82884754,0.382757468,21.22356205,0.456131838,41.86003474,0.84664027,49.4956008,1.252992822,1844.575416,31.73295481,1632.605667,36.38973502,3150.547519,78.20874945,3846.40363,93.5342371,23.88734575,0.382088467,21.25499598,0.449205029,41.87584367,0.840998093,49.58090928,1.250953536
BEVERAGES - OVERALL (Dairy beverages are not included),52 - 49 & 51,Both,51-70 Years,4465,99.81225973,1733.922285,26.52638182,1547.197372,26.52638182,3004.093767,57.40744819,3455.870089,64.11271634,22.76081743,0.360208245,20.39435494,0.367238432,39.80290028,1.0871816,47.92020536,0.989844977,1737.183679,26.50000227,1550.769157,30.80650673,3004.210731,57.13056322,3455.976325,64.47077074,22.80362902,0.360152722,20.44896488,0.358641102,39.80797826,1.086142336,48.01755314,1.013833572
BEVERAGES - OVERALL (Dairy beverages are not included),53 - 49 & 51,Both,71+ Years,2628,99.58296351,1313.005537,22.87767811,1186.451102,22.87767811,2277.357077,70.37101447,2755.635796,116.1769896,18.35604395,0.302647827,16.44461173,0.295521822,30.85574896,0.694666502,37.63653741,1.543272151,1318.504181,22.90545857,1186.934801,21.62770747,2277.934836,69.95510203,2758.066839,115.4662496,18.43291593,0.30116112,16.55856689,0.30634756,30.85717233,0.701167345,37.68023499,1.546259968
BEVERAGES - OVERALL (Dairy beverages are not included),54 - 49 & 51,Both,1-18 Years,6339,98.01219716,949.0523956,13.06960253,781.2512317,13.06960253,1887.934093,43.3147906,2397.695292,65.92286568,27.24494049,0.416534023,22.39778717,0.431903267,51.66202878,1.446248817,65.29259853,1.447249977,968.3002964,13.07907136,783.4029266,10.10057544,1900.415595,40.7602877,2413.797542,67.79817226,27.79274658,0.409346094,22.8555124,0.489230334,51.97832299,1.499882216,65.81371397,1.449608802
