Sex,Age,Number-of-respondents,mean-bw,95percent-Mean-LB,95percent-Mean-UB,median-bw,95percent-Median-LB,95percent-Median-UB
Both,All ages,19670,70.28,69.78,70.78,71.39,70.51,72.27
Both,1-3 Years,1288,13.89,13.56,14.21,13.4,13.01,13.79
Both,4-8 Years,1199,23.49,23,23.99,22.17,21.52,22.83
Both,9-13 Years,1962,43.41,42.45,44.37,41.15,40.2,42.11
Both,14-18 Years,1890,66.8,65.57,68.03,63.59,62.22,64.96
Both,19-30 Years,1849,73.78,72.09,75.47,70,67.07,72.93
Both,31-50 Years,4389,79.21,78.23,80.2,77.22,76.04,78.4
Both,51-70 Years,4465,79.21,78.29,80.13,77.23,76.03,78.43
Both,71+ Years,2628,73.74,72.83,74.65,72.4,71.12,73.69
Both,1-18 Years,6339,39.94,39.46,40.42,34.52,33.48,35.55
Both,19+ Years,13331,77.64,77.04,78.24,75.57,74.76,76.37
Male,9-13 Years,1023,43.8,42.37,45.24,41.35,40.16,42.53
Male,14-18 Years,900,71.49,69.52,73.46,67.74,65.29,70.19
Male,19-30 Years,857,79.41,76.98,81.84,76.15,74.59,77.71
Male,31-50 Years,2005,87.73,86.41,89.05,85.99,84.41,87.57
Male,51-70 Years,2151,87.81,86.45,89.17,85.48,84.08,86.88
Male,71+ Years,1180,81.95,80.58,83.33,80.52,78.92,82.12
Male,19+ Years,6193,85.64,84.81,86.47,83.77,82.67,84.87
Female,9-13 Years,939,42.99,41.72,44.26,40.74,39.24,42.24
Female,14-18 Years,990,61.84,60.39,63.28,59.29,57.91,60.67
Female,19-30 Years,992,67.54,65.39,69.7,64.05,62.22,65.89
Female,31-50 Years,2384,71.07,69.76,72.37,67.95,66.5,69.4
Female,51-70 Years,2314,70.81,69.66,71.95,68.39,66.81,69.97
Female,71+ Years,1448,67.24,65.97,68.51,65.11,63.35,66.87
Female,19+ Years,7138,69.93,69.19,70.67,67.17,66.29,68.04
