Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
DAIRY PRODUCTS - OVERALL,9 to 15,Both,All ages,19670,94.25340751,270.5149978,3.828620342,201.5069244,3.828620342,616.4526638,10.30231987,802.9980361,13.3615905,5.549487211,0.07960684,2.748212327,0.068190444,12.58955028,0.343922633,20.15422741,0.531589465,287.0081888,3.835775547,218.8486956,4.858321256,630.0767299,10.68846713,816.1213927,13.44395226,5.888681278,0.081665481,3.039740787,0.07689043,13.1388952,0.201745212,20.92774859,0.586505592
DAIRY PRODUCTS - OVERALL,9 to 15,Both,1-3 Years,1288,98.58630887,506.405528,18.76405431,452.5419969,18.76405431,953.8262652,46.54383409,1114.582865,77.81264699,38.06162538,1.453843517,33.0383093,1.57006841,74.67081679,3.818048491,87.55530851,3.798895073,513.6671956,18.91645429,457.0358362,16.93116243,957.6318111,45.81377702,1119.368058,78.6432495,38.65008092,1.464408422,33.28943145,1.613073017,74.68554395,3.756113426,87.7651196,3.887897829
DAIRY PRODUCTS - OVERALL,9 to 15,Both,4-8 Years,1199,97.89799669,389.3736401,11.65918447,343.2817236,11.65918447,745.8854947,36.86438708,897.2651597,32.14604212,17.59806225,0.557732008,14.92998232,0.467594215,34.35046109,1.68783878,46.12210303,2.096582637,397.7340224,11.35953529,344.5320714,16.54193341,746.9889266,38.94338115,897.75557,34.23099759,17.97591662,0.545625593,15.09159135,0.492381298,34.4374687,1.826279838,46.13446578,1.988344998
DAIRY PRODUCTS - OVERALL,9 to 15,Both,9-13 Years,1962,96.879219,381.6748445,10.26469515,332.8373595,10.26469515,769.5420821,32.09821279,914.3221047,47.29056849,9.541477514,0.269470258,7.764443565,0.393098405,19.53587809,0.497939046,24.20126074,1.265083148,393.9697785,10.60014535,339.7404672,10.36737791,786.5201015,32.08504057,938.4995811,44.44812806,9.848838185,0.278442935,8.162651391,0.397077224,19.69265419,0.473352756,24.43643512,1.290638244
DAIRY PRODUCTS - OVERALL,9 to 15,Both,14-18 Years,1890,93.70794363,371.2614321,13.57348187,278.7482948,13.57348187,830.3289376,29.74974789,1043.401166,49.43718601,5.781501438,0.19910236,4.444723183,0.205542168,12.92191552,0.47288729,16.779463,0.839460727,396.1899256,13.98550341,302.6689951,12.82461122,849.003207,32.21168287,1066.824854,54.23783515,6.169702603,0.202824188,4.812674963,0.179861027,13.27547615,0.52306605,17.05589026,0.81619626
DAIRY PRODUCTS - OVERALL,9 to 15,Both,19-30 Years,1849,94.29108083,290.180725,15.91943795,218.8182811,15.91943795,625.5379915,46.52364359,875.0537842,96.74461064,4.142575208,0.239482486,2.820488743,0.334082835,9.364639359,0.600150707,13.13686608,1.207943585,307.7499191,16.31607525,239.9858018,16.23313225,643.8543571,50.36899961,878.6334315,102.0862385,4.393390309,0.245822336,3.285998407,0.316688012,9.492360615,0.666014817,13.13915147,1.146933105
DAIRY PRODUCTS - OVERALL,9 to 15,Both,31-50 Years,4389,93.43850878,230.4058736,7.024816399,163.377709,7.024816399,547.8580115,24.36250147,680.7029284,15.93538768,3.016675492,0.091407104,2.109764925,0.120868731,7.006930561,0.244807606,9.145314156,0.294511402,246.5855637,7.087870653,184.7854698,9.943199819,573.0928117,22.48583328,682.3729384,24.72143287,3.228514165,0.091508274,2.344422833,0.1112892,7.222609767,0.250658269,9.460562117,0.271007273
DAIRY PRODUCTS - OVERALL,9 to 15,Both,51-70 Years,4465,93.37505827,225.6077254,6.187003584,153.5130801,6.187003584,523.5867632,18.64285703,663.4284029,30.01694748,2.965502464,0.080255313,1.970854736,0.103081337,7.040552035,0.147873297,8.567035511,0.266269411,241.6145484,6.428902867,170.9895383,8.012158408,536.7586903,17.79661645,685.8452914,33.3454217,3.175904271,0.083437861,2.246580929,0.088292976,7.162593401,0.145418407,8.819940052,0.296015398
DAIRY PRODUCTS - OVERALL,9 to 15,Both,71+ Years,2628,94.53213146,225.8515403,7.288704353,163.1243116,7.288704353,515.1466878,18.45475966,667.6184662,32.85292362,3.187908682,0.10881341,2.205590566,0.134350186,7.308936031,0.413527288,9.627949285,0.470274642,238.9151041,7.459951916,183.2574817,9.796832009,522.8443164,17.32002156,673.4941671,30.61143017,3.372301706,0.11098663,2.482129419,0.14011779,7.583150829,0.420766242,9.766154302,0.47157846
DAIRY PRODUCTS - OVERALL,9 to 15,Both,1-18 Years,6339,96.53870262,401.5983334,6.479920564,337.4708748,6.479920564,823.8523296,13.78861858,1007.193107,18.004201,15.19149933,0.303842875,9.606094602,0.257347669,36.16208655,1.515120057,52.73533408,1.875620003,415.9972348,6.516358766,343.9855659,8.14179832,830.9440889,14.77342289,1009.916269,19.61684056,15.74296996,0.311519969,10.08869336,0.289429082,37.24603299,1.559272299,53.23635964,1.798128884
