Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
FATS - OVERALL ,17 to 21,Both,All ages,19670,88.47286334,17.21731959,0.268199965,12.41824073,0.268199965,38.93652136,0.719981377,51.25538667,1.080182284,0.280887119,0.004280386,0.187245296,0.003838318,0.645906791,0.012383613,0.886895775,0.021798928,19.46056558,0.286679333,14.31315749,0.239056644,40.85249297,0.968973084,53.48233199,1.165709901,0.317454869,0.004639533,0.218261477,0.004382106,0.676362685,0.011299437,0.929428972,0.017113938
FATS - OVERALL ,17 to 21,Both,1-3 Years,1288,88.11831312,9.410003707,0.512411068,6.490111083,0.512411068,22.96700971,2.02398082,27.98265215,1.19845289,0.657612062,0.036530823,0.467582289,0.040758198,1.541435877,0.098502615,2.034969239,0.146128481,10.6788287,0.534988478,7.421861481,0.55161758,24.69054819,2.142670306,28.63964479,1.440345256,0.744273985,0.038831486,0.551758115,0.040867216,1.614560266,0.087761687,2.082906697,0.118603125
FATS - OVERALL ,17 to 21,Both,4-8 Years,1199,90.5552528,13.05121458,0.532391672,9.480248148,0.532391672,28.65067225,1.551376297,35.02580932,1.356604753,0.576299104,0.024654844,0.445880804,0.02621322,1.26243181,0.051480638,1.579534613,0.125376009,14.41243238,0.543175466,10.61916244,0.765570633,29.69945313,1.588623698,35.453679,1.673596425,0.636406046,0.025252186,0.490328213,0.025253628,1.283772588,0.051936888,1.616901515,0.125384145
FATS - OVERALL ,17 to 21,Both,9-13 Years,1962,89.97369271,16.24488972,0.568570144,11.2885073,0.568570144,37.46941999,1.903822207,45.7802481,2.062968461,0.397568059,0.014887262,0.269115561,0.021148055,0.896549167,0.044065005,1.19500661,0.102153279,18.05515505,0.609584133,13.52747931,0.708242964,39.23865923,1.995249104,47.63805639,2.347102335,0.441871448,0.016070619,0.321915153,0.0170418,0.931949375,0.038151198,1.246169104,0.106355789
FATS - OVERALL ,17 to 21,Both,14-18 Years,1890,87.99804359,17.55075815,0.676863332,13.23374048,0.676863332,39.26096595,1.31192935,48.99382142,3.302200401,0.273797633,0.010477787,0.199198421,0.010140187,0.618400644,0.020896261,0.800332264,0.04642703,19.94448675,0.686605001,15.37085564,0.52056563,40.4722319,1.577301609,51.67079198,3.437949563,0.311140591,0.01082448,0.232252199,0.011411329,0.650771085,0.028253911,0.829169996,0.05172683
FATS - OVERALL ,17 to 21,Both,19-30 Years,1849,89.78843492,17.78520033,1.006172668,12.19341935,1.006172668,42.55707407,3.130318408,59.79949572,6.154213978,0.254109345,0.015268135,0.180984571,0.014297333,0.603264318,0.050804392,0.822985903,0.082213802,19.80789658,1.095966141,14.23889753,0.952155759,43.21507427,3.74018495,62.50788506,5.840938529,0.283008992,0.016680686,0.204636885,0.010813244,0.662553532,0.05145553,0.856277232,0.077400417
FATS - OVERALL ,17 to 21,Both,31-50 Years,4389,86.99536682,17.12352119,0.496183529,12.32030666,0.496183529,38.61413594,1.554810572,49.2622509,2.022894455,0.226340944,0.006957419,0.162204461,0.007091211,0.501967625,0.015564169,0.665154655,0.027740304,19.6832565,0.531310186,14.29984685,0.497548544,41.10911637,1.436297978,51.47003335,2.108348579,0.26017586,0.007467007,0.186331864,0.006797239,0.527307293,0.020895778,0.703256123,0.033473075
FATS - OVERALL ,17 to 21,Both,51-70 Years,4465,87.94728337,18.6269781,0.557766116,13.45795815,0.557766116,42.07218784,2.255769094,55.0124512,2.403272464,0.24123934,0.006944489,0.172433654,0.005273022,0.520039893,0.021643942,0.705450339,0.031992115,21.17970832,0.594243037,15.86985867,0.60957045,45.38950687,2.345603664,57.26158794,2.96082086,0.274299934,0.007351185,0.205298466,0.007387804,0.563379313,0.025235781,0.729412997,0.035045615
FATS - OVERALL ,17 to 21,Both,71+ Years,2628,91.17480872,18.23865737,0.528521361,14.13285003,0.528521361,38.94915996,1.142239706,54.01167056,2.400736506,0.253261965,0.007292816,0.195505733,0.007959733,0.535076736,0.018136404,0.707459235,0.037740616,20.00405335,0.528232083,15.40401738,0.518752014,39.43559447,1.835244135,55.62200401,2.088461624,0.27777625,0.007244438,0.21785756,0.008012459,0.550382411,0.021702824,0.737154208,0.040601112
FATS - OVERALL ,17 to 21,Both,1-18 Years,6339,89.26097025,14.58834809,0.309162178,10.12720289,0.309162178,33.12725495,0.946250627,42.62142926,0.89957025,0.45292087,0.010850657,0.306806683,0.010072825,1.027172385,0.036114256,1.39015999,0.041501096,16.34347919,0.320851196,11.99311197,0.418081509,35.02400602,0.854512972,43.2345024,0.843310357,0.507122524,0.011215193,0.360711232,0.011095851,1.095309088,0.042091361,1.436943373,0.062524262
