Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,All ages,19670,71.69481173,152.5233886,2.852211553,117.9984143,2.852211553,376.5053165,7.40857327,484.234903,9.421636804,2.853174115,0.050801034,1.562533307,0.053749969,7.027875524,0.124321151,10.38914941,0.275311268,212.7397853,3.290842367,177.9873377,3.957313309,427.46786,7.07628413,542.915603,14.51969515,3.981190197,0.061720802,2.607106442,0.057961673,8.437178764,0.220239831,12.3551545,0.277144623
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,1-3 Years,1288,91.06889402,183.9945903,8.333311381,145.5395912,8.333311381,387.0975631,27.15213768,470.7678367,33.72462166,13.45113944,0.56626093,10.6472504,0.620565637,26.99836805,1.130303954,34.40218593,2.494428412,202.0388984,8.606136548,167.0110032,11.25779299,408.1391637,31.95513529,497.5118517,39.54893211,14.68004968,0.60280575,11.34415947,0.756304128,27.78775936,1.316762885,35.63842762,2.848228297
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,4-8 Years,1199,82.28387319,179.3587808,7.488761104,155.9652857,7.488761104,389.1385984,16.11399799,464.9795278,22.16883171,8.037806177,0.34050169,6.532952665,0.434896347,18.35677733,0.933357267,22.01917371,1.663525736,217.9756176,7.885418214,181.9256968,8.692663942,420.0197681,18.51780861,477.965874,27.5550092,9.768385792,0.363480214,8.108898845,0.443128356,20.06388371,0.883903636,24.05420566,1.627382666
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,9-13 Years,1962,72.76418329,162.3377809,6.297024928,117.6864948,6.297024928,397.2595846,19.65307331,503.5110492,16.6968267,4.019998322,0.163914465,2.795675461,0.161065264,9.759000132,0.398013056,12.94339869,0.91196576,223.1012204,7.038549126,181.9963432,3.103837698,452.2827708,19.10106443,533.8011718,18.13499924,5.524693799,0.193866504,4.220275788,0.204951999,10.95519747,0.564950332,14.98148305,0.971630521
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,14-18 Years,1890,63.62914873,141.8015332,8.833029865,78.42 E,8.833029865,373.9970509,20.55587481,523.6549342,31.99915537,2.285142601,0.145529949,1.208585436,0.179458794,5.986169449,0.490554324,8.44287675,0.602238502,222.8562476,11.70475584,181.2307152,9.224468167,487.5706945,35.75111562,596.4280641,43.72216827,3.591345549,0.19435863,2.646638107,0.093881837,7.853622341,0.537974145,9.772849167,0.677564987
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,19-30 Years,1849,62.28886723,123.8137645,8.210500309,F,F,360.3646766,23.33495502,474.5495141,44.24890665,1.821360229,0.126656572,F,F,5.152992065,0.334614891,6.628095985,0.564965404,198.7735048,10.666785,150.5835021,12.0094042,422.4797391,34.75757808,559.6746535,42.56249023,2.924054185,0.167444773,2.197217605,0.178202387,5.967420426,0.575418515,7.828868389,0.668633631
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,31-50 Years,4389,70.95515825,152.6887891,5.48889514,117.5904964,5.48889514,386.0372214,12.85802821,476.9960987,17.83701004,2.088085328,0.075674794,1.411347422,0.106179132,5.366503439,0.174617239,6.887792016,0.215264907,215.1905413,6.410909352,181.7899918,4.272664028,421.959721,10.15374454,538.0071928,24.89490967,2.942823861,0.089807037,2.359722474,0.093467484,6.022229207,0.253925913,7.586748487,0.377566579
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,51-70 Years,4465,72.59824516,160.1021683,5.531957991,117.8746527,5.531957991,388.2392121,18.43171172,515.3444727,30.44206769,2.13835427,0.072906398,1.421408145,0.076228435,5.358287422,0.259719023,7.028383226,0.398455984,220.5317331,6.128566643,181.6203991,6.109273238,444.9953094,18.75485273,586.3351247,21.50055623,2.945462753,0.082727036,2.239808179,0.088562102,6.176325583,0.181224814,7.804932751,0.235656861
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,71+ Years,2628,76.2290707,146.2495368,4.76241259,117.803199,4.76241259,355.1166941,13.87784818,458.5394275,18.43321613,2.074190893,0.07340249,1.640598992,0.078129508,4.944031002,0.173594802,6.29403939,0.380810269,191.8553322,4.947802671,149.7870766,6.206752158,393.8720262,18.51852651,486.3529093,11.89495525,2.720997218,0.076610639,2.119940053,0.071960791,5.457475991,0.200573714,7.037822051,0.437465465
FRUITS - OVERALL - also for FRUITS- RAW- COOKED AND CANNED (40),40,Both,1-18 Years,6339,75.85390826,164.8140904,4.022128864,118.9247417,4.022128864,389.0042456,10.20087867,494.9982312,16.25996325,6.129060528,0.150635584,3.531415944,0.132610387,15.61965253,0.518942131,21.27038515,0.715505492,217.2783106,4.582236309,181.993352,1.739203089,436.8006738,12.25032674,530.8623034,12.23102243,8.090283651,0.183763558,5.719861013,0.153434556,17.89936718,0.584449155,24.01951238,0.947934992
