Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,All ages,19670,74.25418119,46.87992379,1.125528955,18.30090515,1.125528955,128.0103372,3.692190784,175.2985345,4.069206991,0.743232739,0.017758626,0.28939668,0.013744428,2.001686158,0.06682752,2.797927718,0.081185551,63.13438925,1.404543169,41.62365048,1.28126572,147.0949912,5.199666831,193.4659252,4.359341732,1.000644633,0.022360644,0.606044314,0.015767631,2.276562849,0.056785202,3.092949732,0.10619054
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,1-3 Years,1288,66.98647643,23.27508556,1.909279695,5.57 E,1.909279695,67.08767224,5.47934191,92.48780579,12.24937641,1.709270171,0.140928357,0.41 E,0.073781655,5.374648357,0.519202973,7.940641534,0.807857664,34.74594694,2.473917275,17.50858983,2.847031158,85.96048947,7.420276933,119.3427592,18.04341511,2.546527683,0.185666166,1.09 E,0.282168136,7.169369316,0.968808733,8.940475335,0.635821778
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,4-8 Years,1199,71.98238057,25.10291419,2.039192522,8.735288532,2.039192522,62.41501492,5.245564837,100.0236187,14.36936771,1.126259372,0.088545537,0.373779528,0.047795802,2.99316241,0.207195925,5.053331981,0.598747904,34.87369269,2.62404977,18.03065409,1.730806766,78.12193242,9.94657152,133.181963,20.27301917,1.564632015,0.113720189,0.810488015,0.081636496,3.499902594,0.543898006,5.694421397,0.463945003
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,9-13 Years,1962,68.76860494,29.42306821,1.70126093,8.074979268,1.70126093,80.33684248,3.626156507,115.0291479,7.989715665,0.752337487,0.051736184,0.183818634,0.029240418,2.044025232,0.109411885,2.8546417,0.187902784,42.7856116,2.355504053,23.38905865,2.62274023,95.7340419,5.756107117,135.4432635,8.198649846,1.094013013,0.07179409,0.565977546,0.066587851,2.387653657,0.101284929,3.261178483,0.27930165
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,14-18 Years,1890,69.78708613,39.8307906,2.348713752,11.59944285,2.348713752,122.6954762,10.225249,156.1204348,11.52249135,0.616119344,0.036550996,0.169963566,0.023780647,1.794899323,0.116752919,2.401651056,0.097343999,57.07472945,3.033413873,35.28497583,3.1317421,132.4838429,7.576159376,189.8559039,16.62969222,0.882855809,0.047819452,0.554667145,0.044933112,2.18348553,0.112987725,2.642631633,0.1875232
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,19-30 Years,1849,74.89768669,49.93722706,3.769756396,17.84 E,3.769756396,132.1710663,9.793309948,184.1188091,21.30817257,0.729138285,0.055225843,0.251931666,0.038895202,2.09005354,0.166264975,2.793308088,0.240397594,66.67392448,4.688758439,41.50754507,4.896632431,157.8919151,12.96055959,221.7603753,27.6214469,0.973512423,0.068977675,0.586069901,0.077193709,2.28490889,0.215483622,3.009140689,0.310662274
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,31-50 Years,4389,74.97217821,57.94356794,2.614293745,31.61032978,2.614293745,150.1428932,9.534524867,194.9618339,6.021874067,0.777526183,0.036902972,0.397530759,0.046719328,2.125123295,0.13638188,2.840509148,0.168368891,77.28676066,3.116509113,56.11867744,3.754915121,173.1403481,6.766101398,209.6428086,9.6890432,1.037086292,0.044420408,0.711089376,0.046751504,2.243080909,0.096534611,2.997079971,0.170067559
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,51-70 Years,4465,76.18726364,47.75424658,1.89147574,21.00307398,1.89147574,125.1187885,6.675197878,175.2738481,6.905411017,0.61699767,0.023471292,0.274449807,0.018614912,1.626667335,0.078594796,2.298813474,0.10337239,62.68009152,2.281023329,39.36264149,1.94282593,143.919236,8.646688519,192.0281701,8.496620303,0.809843588,0.028285354,0.525059974,0.02898032,1.919755621,0.113799429,2.526374314,0.117874991
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,71+ Years,2628,75.15839323,39.07564269,1.302878388,17.55657364,1.302878388,103.5733421,2.834299801,135.0739993,6.904574891,0.544321586,0.018289414,0.229910505,0.024234394,1.457514331,0.0413186,1.918694712,0.08680452,51.99105651,1.593901957,37.37293241,1.671628847,115.7453444,3.991106873,153.8286227,8.183772302,0.724232601,0.022327757,0.526129347,0.03196035,1.581454004,0.048019109,2.11076119,0.102809509
MEATS ALTERNATIVES - OVERALL ,16 & 33 & 37,Both,1-18 Years,6339,69.66358993,30.17649867,1.012603921,8.488561611,1.012603921,85.51281909,2.814431865,126.0012573,4.850681571,0.968333333,0.037095472,0.255944643,0.022770205,2.614267472,0.106466307,4.081888392,0.277611297,43.3174614,1.379979968,23.63981857,1.447486485,103.2679336,5.738864421,142.3335301,7.997995692,1.388949712,0.050534684,0.687953051,0.033947266,3.214330868,0.147626454,5.198211999,0.255683241
