Food-Group-Name,Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,All ages,19670,89.41325033,124.1522152,1.569090807,99.47234796,1.569090807,266.8055179,4.497609206,342.5496102,7.257269383,1.954886097,0.024897815,1.483644203,0.026439457,4.185811199,0.054748127,5.563212968,0.157871808,138.8521441,1.635529666,112.8683453,1.951644338,278.5058248,4.74586386,355.4420995,8.693232185,2.186442023,0.026320168,1.689493775,0.026906461,4.316485408,0.062650375,5.83384448,0.093441594
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,1-3 Years,1288,86.94562822,54.75674142,2.860899126,35.65644919,2.860899126,139.8968985,13.00176652,167.2447085,11.56042618,3.97654888,0.229621348,2.598099072,0.183014114,9.871567843,1.203372545,13.16830964,0.954435814,62.97814225,3.131988634,44.15014866,4.053889993,141.578812,9.650090088,176.7973346,12.3755255,4.59017842,0.25557517,3.119748651,0.208726209,11.07942922,1.455395534,13.45872896,0.858599862
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,4-8 Years,1199,90.25549964,82.12826798,3.984072353,63.25131013,3.984072353,165.0677339,9.518636696,237.4974686,22.53060591,3.644266508,0.177025103,2.808605467,0.160387579,7.358214291,0.418402349,10.4618121,1.121955594,90.9953059,4.183708902,70.00017048,2.936359695,173.5890974,11.01347092,252.422789,23.05551303,4.03772238,0.185814005,3.111013739,0.146560927,7.829770225,0.500455962,11.06190717,1.287232572
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,9-13 Years,1962,88.40837028,100.966462,3.09521894,80.26770965,3.09521894,213.4420377,11.32134128,265.3645056,18.90179198,2.469991566,0.081190687,1.885972752,0.104741896,5.52014705,0.21588934,6.761418692,0.354440478,114.2046411,3.067658377,90.33282236,3.503267653,228.1856609,10.83743217,291.6215106,19.77298965,2.793843567,0.083034504,2.189056101,0.082024158,5.756445214,0.216535761,7.104646058,0.406913051
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,14-18 Years,1890,87.02870587,131.7452006,4.950039537,99.22190041,4.950039537,285.5767077,13.79021887,444.8121368,47.68651102,2.045168886,0.076917918,1.508491037,0.07311764,4.68248062,0.300361678,6.690885814,0.396106268,151.3813164,5.226529459,115.8349877,3.556029955,304.6487662,18.34183025,467.221757,39.45655371,2.349993448,0.08093253,1.807961747,0.081376931,5.168205053,0.3896871,6.700717982,0.310132866
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,19-30 Years,1849,89.10269701,150.1810804,7.481123721,124.5037275,7.481123721,315.1596167,23.58352574,401.8052544,43.22196241,2.083711621,0.100785194,1.754610484,0.095619008,4.232353929,0.226424544,5.810034508,0.431318183,168.5482992,7.757003591,143.1956909,8.870165855,335.35392,24.94841377,420.8907535,49.31224103,2.338550562,0.105527735,1.922219151,0.08538822,4.408392287,0.316428419,5.906301622,0.521835377
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,31-50 Years,4389,88.67080267,133.318311,3.501290992,106.7693494,3.501290992,283.8712807,9.557183374,355.2231031,16.34455595,1.736321071,0.04818259,1.357980378,0.050688175,3.822353375,0.14692496,4.740036875,0.200124353,150.351984,3.53656523,121.3866921,3.256497205,297.9682342,10.14887033,377.1321399,14.05924249,1.958165505,0.048382781,1.579000289,0.05453125,4.053541604,0.156699263,4.946582737,0.191282762
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,51-70 Years,4465,91.47302256,129.9807368,2.556151507,111.35226,2.556151507,268.3021136,6.387342095,341.5118452,13.54809229,1.655409614,0.03150133,1.406681134,0.040261923,3.350993494,0.09699002,4.051490537,0.140746992,142.0973454,2.618070415,120.026619,2.560718398,274.9357569,6.98352087,345.3241931,10.81021843,1.809724406,0.032892555,1.532928362,0.0352295,3.500780518,0.100087431,4.205795192,0.149107612
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,71+ Years,2628,88.879709,98.41181569,2.627333238,81.77562571,2.627333238,202.8873417,6.658000782,254.3462236,10.3243329,1.352077066,0.036240845,1.109024443,0.032919279,2.780743627,0.133131977,3.65186234,0.237049317,110.7247276,2.615911839,92.03401623,2.758540024,213.6104915,7.15396388,263.6476006,10.82153878,1.521243803,0.035436321,1.271736317,0.04010782,2.961866039,0.1452597,3.912627605,0.258899987
MEATS - OVERALL,22 - 25 and 27 - 32 and 34 - 35,Both,1-18 Years,6339,88.28612137,96.83393401,2.098924943,70.03052767,2.098924943,211.6013907,5.490338875,287.0559987,11.35749959,2.91482738,0.071241641,2.016329747,0.049618156,6.468543587,0.169092156,8.551525202,0.265471978,109.6819438,2.206393559,81.18233459,2.310452913,225.2217378,7.613496466,305.4776888,13.21240351,3.302802055,0.077102274,2.319567915,0.061718978,6.79277827,0.158864246,8.926364792,0.448692366
