Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
  SUGARS -  SYRUPS AND PRESERVES,41,Both,All ages,19670,72.04159259,17.55663064,0.391806195,7.651484428,0.391806195,45.52894743,1.299125807,69.57790504,2.499529211,0.295003185,0.00711392,0.108821023,0.004271134,0.761379417,0.019057587,1.185230879,0.036163921,24.37013121,0.507010321,14.50238901,0.438718503,57.02680932,1.913371664,82.20838346,2.809277051,0.408933105,0.00927079,0.210990344,0.005697379,0.940608467,0.025105848,1.425138137,0.047718068
  SUGARS -  SYRUPS AND PRESERVES,41,Both,1-3 Years,1288,56.15454094,7.626748505,0.611623779,F,F,20.12639087,0.744442271,29.31409798,3.311743481,0.5558535,0.043466313,F,F,1.470716664,0.135846271,2.152770882,0.204240059,13.58171285,0.874799005,9.168223317,1.275035678,27.7687782,2.578587376,39.98383975,2.80613043,0.955983616,0.061044425,0.66933698,0.08864718,1.994635513,0.172554662,2.91520562,0.225394223
  SUGARS -  SYRUPS AND PRESERVES,41,Both,4-8 Years,1199,70.10855542,17.63035287,1.45709058,5.725125939,1.45709058,45.02715894,4.497380726,74.04388131,6.573886349,0.766122494,0.05861835,0.25 E,0.044630693,2.21080885,0.184146932,3.138324814,0.327473831,25.14722029,1.9194608,14.6548519,1.49752033,60.68677322,8.313490745,84.25033453,11.67177002,1.092766053,0.076086522,0.591688376,0.050681761,2.659325884,0.206156382,3.92140317,0.472731823
  SUGARS -  SYRUPS AND PRESERVES,41,Both,9-13 Years,1962,73.77751548,18.99686192,1.324970968,6.6 E,1.324970968,47.98378475,4.443660365,69.85201887,4.868648574,0.493688704,0.047485629,0.164143456,0.024163634,1.253555019,0.095329246,1.848378788,0.126836504,25.74885018,1.696651736,15.37488858,0.994266124,61.53640153,4.029439268,79.43156371,5.417415319,0.669158756,0.062219892,0.365136841,0.026520545,1.476916311,0.10266129,2.083948616,0.190806931
  SUGARS -  SYRUPS AND PRESERVES,41,Both,14-18 Years,1890,67.10034878,20.98883454,1.595316208,5.21 E,1.595316208,61.51272335,5.742771238,97.96916891,8.573791934,0.338641899,0.029378145,0.07 E,0.012911492,0.908608443,0.085512771,1.472763417,0.177466831,31.27976966,2.139489716,15.69329564,1.152202297,82.66192692,6.540231388,111.766201,8.786496659,0.50467979,0.040417239,0.246823062,0.015735576,1.236776957,0.087603109,1.961862464,0.238878932
  SUGARS -  SYRUPS AND PRESERVES,41,Both,19-30 Years,1849,74.43313652,19.23069774,1.200775534,9.173747725,1.200775534,49.83136361,4.840037822,74.79886428,9.05323833,0.271240989,0.017199234,0.142496053,0.017985552,0.713735041,0.052722229,0.988149705,0.13918042,25.83620499,1.517158645,17.59127874,2.12335785,58.48526141,4.699587754,82.11784597,10.99570094,0.36440892,0.021943539,0.224634264,0.025646568,0.783463882,0.064860826,1.193934556,0.172163398
  SUGARS -  SYRUPS AND PRESERVES,41,Both,31-50 Years,4389,72.60990749,16.31008776,0.777906458,7.277281005,0.777906458,43.32372582,2.109831272,65.13765332,3.618918813,0.21656638,0.011210115,0.093262051,0.00615704,0.560039004,0.024322634,0.833305708,0.054492422,22.46262022,1.014789608,12.55506358,0.600449819,51.90954281,3.321323034,75.1794147,5.568974671,0.298260096,0.014703229,0.162805995,0.008736145,0.678618654,0.039715805,1.011436997,0.073373417
  SUGARS -  SYRUPS AND PRESERVES,41,Both,51-70 Years,4465,72.22585061,18.01835688,0.689828786,8.334676724,0.689828786,45.83660722,2.690046271,72.50646568,5.131621742,0.235339802,0.009287288,0.105422412,0.005852547,0.627434031,0.036120546,0.917485148,0.048036833,24.94724081,0.888901018,16.64467184,0.708310897,57.79440816,4.275893506,87.41826563,4.640549111,0.325838741,0.011813782,0.203570886,0.008211102,0.773049418,0.036608813,1.02476071,0.06002936
  SUGARS -  SYRUPS AND PRESERVES,41,Both,71+ Years,2628,74.84503669,18.46531975,0.806944071,9.355186964,0.806944071,48.34478765,2.864038624,66.43229318,3.993195485,0.255717469,0.01133418,0.129241966,0.008459842,0.661945234,0.035203915,0.940342681,0.053577418,24.67140182,0.966242318,15.08037904,0.902650621,58.59015909,3.158689263,76.07405095,4.106957446,0.341662561,0.013656555,0.225218308,0.013896617,0.780997554,0.052511858,1.039674196,0.05777457
  SUGARS -  SYRUPS AND PRESERVES,41,Both,1-18 Years,6339,67.90277042,17.29377747,0.726502612,4.753547973,0.726502612,44.84080957,2.273227465,74.51313476,3.325326028,0.535557588,0.024561302,0.142003264,0.015249143,1.47187636,0.067329375,2.242524525,0.135634593,25.46844166,0.950756148,14.23470053,0.655898267,61.53707632,3.297938161,91.08644412,5.917657061,0.783489841,0.031973059,0.401760259,0.017653994,1.895298454,0.095997345,2.663058882,0.151770733
  SUGARS -  SYRUPS AND PRESERVES,41,Both,19+ Years,13331,73.05812569,17.62118982,0.434557931,8.334677418,0.434557931,45.59482631,1.425123133,68.19561051,2.728711904,0.236623566,0.006063033,0.105783474,0.004320876,0.616304543,0.022097674,0.904092674,0.032679634,24.11941129,0.562160097,14.5692228,0.501505707,55.87798553,2.081869672,79.92768021,3.266501177,0.323883982,0.007882934,0.194418643,0.005310505,0.749742178,0.020064152,1.040117849,0.044157505
  SUGARS -  SYRUPS AND PRESERVES,41,Male,9-13 Years,1023,71.75180889,17.76913127,1.183575462,4.68 E,1.183575462,49.59185114,5.613809076,72.82495778,4.42617585,0.445818181,0.033338392,0.1 E,0.028234436,1.296935093,0.130486892,1.914618108,0.193994513,24.7647154,1.519500033,13.69741284,1.3969459,65.74515319,5.389593434,80.59915225,6.303426399,0.621333717,0.043636554,0.318550192,0.042985013,1.643309228,0.162573509,2.320150441,0.24061484
  SUGARS -  SYRUPS AND PRESERVES,41,Male,14-18 Years,900,65.76981627,21.16924868,2.028131624,4.74 E,2.028131624,61.52846217,8.896764956,97.82108947,7.803454907,0.310789893,0.029926741,0.07 E,0.015233255,0.888089765,0.114098073,1.351058208,0.174613012,32.1868752,2.744320547,15.71074317,2.218115975,85.4804633,8.338124281,106.8169319,11.3412994,0.47254183,0.040686869,0.242173953,0.029450475,1.276598995,0.131573883,1.774828564,0.226430859
  SUGARS -  SYRUPS AND PRESERVES,41,Male,19-30 Years,857,75.14660683,19.54793605,1.697789087,8.3 E,1.697789087,55.74398952,6.379699555,78.01985803,10.33329423,0.25453462,0.023267631,0.11 E,0.026538499,0.708448754,0.093979946,0.99 E,0.165602977,26.0130655,2.241879894,15.46 E,3.088588586,59.1380309,8.008896198,81.82332251,10.14191413,0.338717382,0.030854927,0.205543735,0.032042973,0.749748003,0.102492417,1.168428312,0.185691621
  SUGARS -  SYRUPS AND PRESERVES,41,Male,31-50 Years,2005,75.41568436,18.39396369,1.336643531,8.311986458,1.336643531,46.41610798,3.763073614,66.38349077,7.061742782,0.22064925,0.018820294,0.09244115,0.006809429,0.564828037,0.031406535,0.803915265,0.075142309,24.39010379,1.714600637,12.70044808,0.920458736,57.35631237,4.574638487,83.45074765,9.595396273,0.292577402,0.024322529,0.151172809,0.011920006,0.648240533,0.056764527,0.971365938,0.113764899
  SUGARS -  SYRUPS AND PRESERVES,41,Male,51-70 Years,2151,75.96134638,20.90935019,1.139302116,10.14824705,1.139302116,53.42146611,5.042840775,89.19200866,7.916406691,0.244309784,0.012823555,0.118259638,0.010660461,0.630012452,0.055965594,0.951241363,0.053730771,27.52630277,1.418697858,17.05234292,1.05306204,66.27222879,7.071653818,90.43090359,5.38285974,0.32162382,0.015922646,0.199333353,0.011503126,0.7780996,0.079842508,1.023775516,0.066409672
  SUGARS -  SYRUPS AND PRESERVES,41,Male,71+ Years,1180,79.5026325,23.17338542,1.435387813,12.5021349,1.435387813,61.22815557,4.422942534,76.01458229,4.850953656,0.291943341,0.01868215,0.147293527,0.01542881,0.706933907,0.045063398,1.015919527,0.078637517,29.14794729,1.649509469,18.12580318,1.634776649,65.2925199,4.273210173,77.86847148,9.713254591,0.367212169,0.021572865,0.232175642,0.013314722,0.779932409,0.070602904,1.083302745,0.076984967
  SUGARS -  SYRUPS AND PRESERVES,41,Male,19+ Years,6193,75.9894483,19.95004666,0.746396188,8.941944159,0.746396188,53.36084816,2.956693078,77.23137664,4.272305781,0.242269121,0.009911035,0.107111343,0.006278234,0.616751375,0.032082765,0.943759866,0.048062287,26.25370641,0.93680918,15.39719056,0.793898895,61.14094672,2.730558955,89.79334999,4.595267921,0.318819424,0.012537017,0.185811406,0.009581223,0.750166389,0.036905897,1.032551065,0.060925548
