Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
VEGETABLES - OVERALL ,36 and 38 - 39,Both,All ages,19670,93.86236884,202.4091377,2.843191243,157.0574876,2.843191243,434.9999852,6.718312603,547.0583734,9.693667341,3.26804248,0.04656572,2.378939985,0.037497522,6.933356999,0.136795582,9.301888143,0.242047817,215.6446083,2.839390206,169.9967681,3.440479936,441.9929223,8.179162848,555.1159056,10.16261346,3.481439491,0.047020956,2.543558352,0.040486307,7.216353993,0.14179809,9.536063583,0.230914693
VEGETABLES - OVERALL ,36 and 38 - 39,Both,1-3 Years,1288,86.66043309,98.3016611,4.777162909,72.99202783,4.777162909,226.709271,15.26355112,285.9985478,14.07003126,7.104428776,0.361240558,5.490115531,0.36771563,15.94939483,0.592854653,19.37441668,1.382200118,113.4331524,4.75535609,90.00398978,6.449815879,246.5128958,15.89025625,288.8732619,21.11041953,8.225553529,0.366046511,6.224247952,0.326329081,16.54535742,0.645613865,20.87650867,1.475065255
VEGETABLES - OVERALL ,36 and 38 - 39,Both,4-8 Years,1199,94.09038525,135.8813916,5.694465799,97.92195259,5.694465799,308.9475808,13.56684315,413.0970142,25.103936,6.101204253,0.2569207,4.254365201,0.200401388,14.89493086,0.750863948,18.63914857,1.108128948,144.4158096,5.984896293,105.9186291,6.015339772,314.0650359,14.92850307,420.6881874,24.01566134,6.484407771,0.270671006,4.48782782,0.236184431,15.07519813,0.733990724,19.2920677,1.091548655
VEGETABLES - OVERALL ,36 and 38 - 39,Both,9-13 Years,1962,92.22551752,146.1324533,4.549814939,117.680296,4.549814939,313.7255644,10.57084103,388.1008054,16.30752353,3.598207178,0.118822625,2.612043753,0.109764268,8.309229981,0.367154475,9.767981351,0.297984524,158.4512153,4.332540475,130.48136,4.778920256,316.8823378,12.8508889,398.8996487,16.57100947,3.901531024,0.113827765,2.846604319,0.162246298,8.533764184,0.311168913,9.869627318,0.338223381
VEGETABLES - OVERALL ,36 and 38 - 39,Both,14-18 Years,1890,92.42202156,172.6881303,5.545209699,135.6229133,5.545209699,365.0719028,10.74438084,480.2992496,27.47914919,2.71251438,0.091637779,2.148277312,0.103890059,5.803178657,0.204096565,8.017789797,0.46146087,186.8473849,5.519969889,147.603732,6.550792565,371.8656883,11.96893197,489.0907284,28.92620962,2.934922148,0.091647591,2.362735035,0.103571173,5.93946708,0.258866224,8.146786233,0.413266589
VEGETABLES - OVERALL ,36 and 38 - 39,Both,19-30 Years,1849,95.05351608,199.7450117,7.703699489,167.3459742,7.703699489,411.4439065,22.63888847,491.852974,26.44037332,2.904049896,0.136378709,2.309581104,0.112510773,6.032448974,0.418913772,8.245289006,0.723030738,210.1395298,7.628126522,175.6663302,9.66519734,427.5524736,21.54032184,492.9795329,30.16996347,3.055173565,0.136278466,2.401448675,0.088804024,6.322435029,0.443939458,8.30495342,0.693375687
VEGETABLES - OVERALL ,36 and 38 - 39,Both,31-50 Years,4389,93.66773975,218.27605,5.913414848,174.1975015,5.913414848,463.6046822,15.59463861,583.9673852,19.3199882,2.913997427,0.082867442,2.143694985,0.100350072,6.355022676,0.215036408,7.975580389,0.302656347,233.0322591,5.748756059,185.9536774,5.934378462,476.7653517,13.97462011,591.204789,22.3559748,3.110993641,0.081217511,2.356787642,0.080423477,6.491391421,0.229490262,8.137466467,0.301736192
VEGETABLES - OVERALL ,36 and 38 - 39,Both,51-70 Years,4465,95.01123751,230.4377174,6.379422826,182.6460485,6.379422826,479.1082149,12.3503084,579.6541317,24.5183942,3.053746625,0.089855182,2.386598835,0.070305336,6.342783048,0.181424819,8.470949639,0.403668307,242.5373287,6.487739155,196.0742092,7.23852185,485.9368047,12.91072132,600.1350525,24.31880376,3.214089938,0.091427533,2.511292154,0.058412897,6.370807055,0.218714192,8.547089506,0.418181623
VEGETABLES - OVERALL ,36 and 38 - 39,Both,71+ Years,2628,93.72992066,200.4160198,5.138990075,162.1517946,5.138990075,418.6772755,12.8577382,537.1895039,20.44276781,2.805068036,0.073915789,2.170073403,0.073002729,6.094799607,0.220850985,7.613886075,0.259735905,213.8228843,5.08549631,175.667077,6.018978205,428.6058842,14.18255766,546.9717226,19.15691125,2.99271355,0.074169276,2.320940728,0.090695144,6.231777513,0.205148698,7.730403386,0.252017325
VEGETABLES - OVERALL ,36 and 38 - 39,Both,1-18 Years,6339,91.87770548,142.921901,2.725933291,106.9666206,2.725933291,315.9213061,7.761737063,406.1646357,12.77629563,4.598265255,0.103425999,3.019010982,0.07767932,10.59674059,0.323074538,15.1365729,0.510280553,155.556672,2.836564485,119.5094104,2.96895813,326.9674454,9.02493268,421.6763263,11.38599645,5.003818232,0.108831686,3.323856747,0.081847061,11.03850018,0.441218205,15.55142093,0.450789413
VEGETABLES - OVERALL ,36 and 38 - 39,Both,19+ Years,13331,94.34982057,217.0197545,3.456223403,173.9076312,3.456223403,458.3953997,8.266424579,567.3217735,10.91387483,2.94521364,0.05006944,2.276711743,0.044971753,6.293159225,0.125459194,8.150187592,0.206156084,230.0160755,3.39724154,185.7075984,3.834102604,466.7997928,6.910166688,577.735008,10.88434198,3.121589021,0.049620545,2.416840328,0.041389596,6.391404819,0.119669282,8.251612724,0.206924136
VEGETABLES - OVERALL ,36 and 38 - 39,Male,9-13 Years,1023,91.60638811,147.2721396,6.141731971,116.1971974,6.141731971,320.2017355,14.89198201,389.6878093,21.16283654,3.60771714,0.162941059,2.564634922,0.151371997,8.364198897,0.411687702,9.77217652,0.348182784,160.7662332,6.274225307,131.2430864,6.986598176,331.1540397,15.66211169,406.9645736,21.35238662,3.938281177,0.167284384,2.930078593,0.246088783,8.569550952,0.395867525,9.8350949,0.370505526
VEGETABLES - OVERALL ,36 and 38 - 39,Male,14-18 Years,900,93.34070871,186.835154,8.44741765,146.2278514,8.44741765,399.9657971,29.13247539,538.1331882,33.0303602,2.72416237,0.125791393,2.200703737,0.16771574,5.900910303,0.487464418,8.570016322,0.592637329,200.1647047,8.585665995,165.8256236,12.27140262,416.6361455,31.79872256,539.8854379,33.44044979,2.91851477,0.128308031,2.461172663,0.185734173,6.05835718,0.55072231,8.580187804,0.495817138
VEGETABLES - OVERALL ,36 and 38 - 39,Male,19-30 Years,857,95.30043604,211.1166322,11.76490271,178.5882046,11.76490271,434.756417,22.90246078,493.2188287,67.97601796,2.835262178,0.175371637,2.213488344,0.209460619,5.788497057,0.521446065,7.932368075,0.981871165,221.5274567,12.01537088,191.2616801,14.28204232,435.7474115,22.96191189,515.7873661,66.91673237,2.975077865,0.179033233,2.313820657,0.200138327,5.953343536,0.528416016,8.005750989,0.968785778
VEGETABLES - OVERALL ,36 and 38 - 39,Male,31-50 Years,2005,93.54734092,223.7538591,8.294562389,176.4868181,8.294562389,483.4292756,21.99877591,581.7464068,28.29573559,2.656374583,0.101948575,1.953633341,0.089827539,5.925320852,0.217027584,7.41129074,0.362466853,239.1878346,8.254046893,188.4311305,9.62128513,493.3828945,23.09885447,584.0448718,35.29469323,2.839604586,0.101238933,2.055479495,0.13733024,5.963856378,0.273913506,7.534654204,0.368922003
VEGETABLES - OVERALL ,36 and 38 - 39,Male,51-70 Years,2151,94.00535199,241.8518361,10.36164773,201.0624319,10.36164773,493.4377317,16.71199509,626.5204577,48.31877486,2.871936416,0.136033927,2.285120089,0.100413826,5.982245584,0.267269598,7.171280516,0.716017566,257.2745391,10.69214369,213.0573164,7.136661653,501.5350103,17.46381327,635.5653574,53.88507388,3.055077563,0.141487339,2.460140063,0.083855728,6.053557706,0.242132315,7.514786419,0.790448717
VEGETABLES - OVERALL ,36 and 38 - 39,Male,71+ Years,1180,93.49610485,225.4455881,7.940598884,193.8702556,7.940598884,454.3685617,27.41387453,557.6442193,29.84994702,2.830444187,0.107847991,2.295712874,0.147008228,5.90470161,0.339076266,7.525207867,0.507821219,241.1283213,7.951068535,209.4575222,9.19407407,466.0745912,28.59011605,561.1734881,37.30772923,3.027339152,0.109120088,2.547383168,0.129037273,6.099040561,0.351564941,7.807657567,0.531649098
VEGETABLES - OVERALL ,36 and 38 - 39,Male,19+ Years,6193,94.008328,227.6555725,5.398720758,183.6436781,5.398720758,471.812567,11.68311981,580.2425031,22.25963974,2.778654848,0.069919486,2.129425203,0.081432203,5.928800439,0.149827499,7.429725962,0.316412049,242.1653244,5.45070959,199.7189344,5.816924018,482.9848926,11.25415545,586.2005744,29.1363007,2.955753928,0.07098548,2.292858527,0.076878798,6.023634651,0.165840402,7.557886573,0.347683052
VEGETABLES - OVERALL ,36 and 38 - 39,Female,9-13 Years,939,92.87712135,144.9329885,6.443591516,119.2063531,6.443591516,293.6412415,11.84496618,378.3842467,23.51251356,3.588198402,0.164964247,2.640860633,0.155779008,7.769002302,0.588460905,9.715254631,0.568732567,156.0481057,6.544991502,129.1375238,7.376408084,297.9199865,16.29359379,392.2314107,23.62543391,3.863382445,0.165303247,2.828801062,0.203270963,8.501255357,0.600341773,9.994414209,0.636983827
VEGETABLES - OVERALL ,36 and 38 - 39,Female,14-18 Years,990,91.45065834,157.7299388,6.974193844,123.6142983,6.974193844,338.974919,15.04240627,400.1866675,24.95366242,2.700198513,0.128611609,2.131832587,0.126873664,5.768699626,0.249901787,7.317663221,0.557860563,172.4754547,7.049202842,133.8398468,7.685188324,347.5784206,13.58888344,406.804549,28.48063208,2.95262884,0.13172033,2.310507344,0.115835102,5.89251386,0.287480033,7.536049693,0.556956534
