FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry,MeasureDescription
2,341,0.40152,1997-05-01,
2,383,0.5019,2003-08-12,
2,415,1.0038,2003-08-12,
4,341,0.92984,2004-06-10,
4,383,1.1623,2004-06-10,
4,415,2.3246,2004-06-10,
5,502462,6.04,2012-10-24,
5,341,0.92989,2014-09-12,
5,415,2.32472,2014-09-12,
5,383,1.16236,2014-09-12,
6,108,0.35,1997-05-01,
6,341,0.45224,1997-05-01,
6,383,0.5653,2003-09-10,
6,415,1.1306,2003-09-10,
6,1461,0.55,2004-03-15,
7,1457,1.4,2004-08-27,
7,174,2.6378,2026-01-28,
8,1457,1.4,2004-08-27,
8,174,3.7214905220000003,2026-01-28,
9,1607,1.95,2005-02-10,
10,1457,1.4,2004-08-27,
10,174,3.9370196440000003,2026-01-28,
13,341,1.01437,2002-09-25,
13,385,0.15101,2002-09-25,
13,439,0.050679999999999996,2003-03-14,
13,383,1.26789,2003-03-14,
14,341,1.01437,2003-03-14,
14,383,1.26796,2003-03-14,
14,385,0.15101,2003-03-14,
14,439,0.050679999999999996,2003-03-14,
16,385,0.09573999999999999,2014-01-17,
16,439,0.0319,2014-01-17,
16,966,0.038,1997-05-01,
16,1573,0.1,2004-07-06,
16,341,0.63824,2014-01-17,
17,385,0.12973,2002-09-19,
17,439,0.04324,2003-03-06,
17,1573,0.1,2004-07-06,
17,341,0.86649,2014-01-17,
18,344,0.57058,1997-05-01,
18,975,1.4264599999999998,2003-03-06,
18,990,0.5,2003-03-13,
18,1454,0.3,2004-02-11,
19,368,0.47759999999999997,1997-05-01,
19,348,0.5579,1997-05-01,
19,976,1.39476,2003-03-06,
19,977,1.19399,2003-03-06,
19,990,0.5,2003-03-13,
19,1454,0.3,2004-02-11,
20,371,0.60862,1997-05-01,
20,358,1.0144199999999999,2014-01-28,
20,978,2.53605,2014-01-28,
20,979,1.52156,2003-03-06,
20,990,0.5,2003-03-13,
20,1454,0.3,2004-02-12,
21,341,1.0397,2002-09-19,
21,415,2.59932,2003-03-06,
21,990,0.5,2003-03-13,
21,1454,0.3,2005-02-10,
22,368,0.47759999999999997,2004-01-14,
22,348,0.5579,2004-01-14,
22,1454,0.3,2004-02-13,
22,990,0.5,2003-03-13,
23,368,0.47759999999999997,2004-01-14,
23,348,0.5579,2004-01-14,
23,1454,0.3,2004-02-13,
23,990,0.5,2003-03-13,
24,368,0.47759999999999997,1997-05-01,
24,348,0.5579,1997-05-01,
24,976,1.39476,2003-03-06,
24,977,1.19399,2003-03-06,
24,990,0.5,2003-03-13,
24,1454,0.3,2004-02-13,
25,619,0.95097,2003-03-06,
25,355,0.8875700000000001,2003-03-06,
25,981,2.21893,2003-03-06,
25,982,2.37743,2003-03-06,
25,973,1.18872,2003-03-06,
25,972,1.10947,2003-03-06,
25,1489,1.25,2004-07-06,
26,376,0.9551999999999999,1997-05-01,
26,974,1.19399,2003-03-06,
26,983,2.3879900000000003,2003-03-06,
26,1489,1.25,2004-07-21,
27,376,0.61285,1997-05-01,
27,974,0.76606,2003-03-06,
27,983,1.53212,2003-03-06,
27,1489,1.25,2004-07-06,
28,341,0.98,2019-07-22,
28,385,0.147,2019-07-22,
28,415,2.45,2019-07-22,
28,990,0.5,2003-03-13,
28,428,0.294,2019-07-22,
28,1454,0.3,2010-07-27,
28,383,1.225,2019-10-18,
29,348,0.5579,1997-05-01,
29,990,0.5,2003-03-13,
29,994,1.39475,2003-03-13,
29,1454,0.3,2004-02-13,
30,368,0.45647,1997-05-01,
30,348,0.5579,2008-02-22,
30,976,1.39476,2003-03-06,
30,977,1.14117,2003-03-06,
30,990,0.5,2003-03-13,
30,1454,0.3,2004-02-13,
31,348,0.5579,1997-05-01,
31,415,1.39475,2003-03-13,
31,990,0.5,2003-03-13,
31,1454,0.3,2004-07-06,
32,368,0.45647,1997-05-01,
32,348,0.5579,1997-05-01,
32,976,1.39476,2003-03-06,
32,977,1.14117,2003-03-06,
32,990,0.5,2003-03-13,
32,1454,0.3,2004-07-06,
33,341,0.56636,1997-05-01,
33,415,1.41589,2003-03-06,
33,990,0.5,2003-03-13,
33,1454,0.3,2004-02-13,
34,368,0.47759999999999997,1997-05-01,
34,348,0.5579,1997-05-01,
34,976,1.39476,2003-03-06,
34,977,1.14117,2003-03-06,
34,990,0.5,2003-03-13,
34,1454,0.3,2004-02-13,
34,245,0.18864999999999998,2019-07-23,
35,368,0.47337,2003-03-06,
35,977,1.18343,2003-03-06,
35,990,0.5,2003-03-13,
35,1454,0.3,2004-02-13,
37,368,0.47759999999999997,1997-05-01,
37,348,0.5579,1997-05-01,
37,976,1.39476,2003-03-06,
37,977,1.14117,2003-03-06,
37,990,0.5,2003-03-13,
37,1454,0.3,2004-02-13,
38,341,1.0144,2006-07-14,
38,990,0.5,2003-03-13,
38,1454,0.3,2004-07-06,
38,385,0.15216,2004-02-03,
39,353,0.7929999999999999,2019-07-23,
39,505784,0.11900000000000001,2019-07-23,
39,1242,1.984,2019-07-23,
39,990,0.5,2003-03-13,
39,1467,0.15,2004-07-06,
39,1241,0.992,2019-10-21,
40,990,0.5,2003-03-13,
40,341,0.4227,2008-02-22,
40,1467,0.15,2004-07-06,
40,385,0.050679999999999996,2004-05-03,
41,348,0.5579,1997-05-01,
41,368,0.47759999999999997,1997-05-01,
41,976,1.39476,2003-03-06,
41,977,1.14117,2003-03-06,
41,990,0.5,2003-03-13,
41,1454,0.3,2004-02-13,
42,502477,0.2243,2019-07-23,
42,348,0.5579,2002-09-19,
42,976,1.39476,2003-03-06,
42,990,0.5,2003-03-13,
42,1454,0.3,2004-02-13,
43,341,1.047,2019-07-23,
43,383,1.3090000000000002,2019-07-23,
43,415,2.6180000000000003,2019-07-23,
43,1455,1.0,2004-02-13,
43,385,0.15710000000000002,2019-07-23,
43,428,0.31420000000000003,2019-07-23,
44,341,1.045,2019-07-23,
44,383,1.306,2019-10-22,
44,415,2.613,2019-07-23,
44,1455,1.0,2004-02-13,
44,385,0.1568,2019-07-23,
44,428,0.3135,2019-07-23,
45,353,0.42265,1997-05-01,
45,415,1.05663,2003-03-07,
45,990,0.5,2003-03-13,
45,1467,0.15,2004-07-07,
45,385,0.0634,2007-06-15,
46,344,0.57058,1997-05-01,
46,415,1.42645,2003-03-07,
46,990,0.5,2003-03-13,
46,1454,0.3,2004-02-13,
47,348,0.5579,1997-05-01,
47,368,0.45647,1997-05-01,
47,976,1.39476,2003-03-07,
47,977,1.14117,2003-03-07,
47,978,2.57819,2003-03-07,
47,990,0.5,2003-03-13,
47,1454,0.3,2005-02-10,
47,502477,0.21958,2019-07-23,
48,368,0.47759999999999997,1997-05-01,
48,348,0.5579,1997-05-01,
48,976,1.39475,2003-03-07,
48,977,1.194,2003-03-07,
48,990,0.5,2003-03-13,
48,1454,0.3,2004-02-13,
51,341,1.03128,2004-02-03,
51,415,2.57819,2004-02-03,
51,990,0.5,2003-03-13,
51,1454,0.3,2004-07-07,
52,368,0.47759999999999997,2004-01-14,
52,348,0.59172,2004-01-14,
52,1454,0.3,2004-02-13,
52,990,0.5,2003-03-13,
52,245,0.20833,2008-09-12,
54,341,0.25359000000000004,1999-06-16,
54,385,0.03041,2003-03-07,
54,415,0.63398,2003-03-07,
54,1467,0.15,2004-07-07,
54,640,0.15215,2007-06-15,
55,341,1.07354,1999-06-16,
55,415,2.68385,2003-03-07,
55,383,1.34193,2004-02-13,
55,502468,0.9,2012-08-14,
56,341,1.01437,1999-06-16,
56,385,0.15216,2003-03-07,
56,415,2.53593,2003-03-07,
56,1467,0.15,2004-07-07,
56,866,0.15,2014-01-28,
57,385,0.0596,2000-11-07,
57,341,0.3973,2000-11-07,
57,383,0.4966,2004-07-07,
58,385,0.05072,2004-02-03,
58,415,0.84531,2003-03-07,
58,383,0.42265,2004-07-07,
58,1467,0.15,2010-07-27,
59,341,0.29586,1999-06-16,
59,385,0.044379999999999996,2004-02-03,
59,415,0.73964,2003-03-07,
59,383,0.36982,2004-07-07,
59,640,0.17751999999999998,2007-06-15,
59,1467,0.15,2010-07-27,
60,341,0.31699,1999-06-16,
60,385,0.04755,2004-02-03,
60,415,0.7924800000000001,2003-03-07,
60,383,0.39624000000000004,2004-07-07,
60,640,0.19018999999999997,2007-06-15,
60,1467,0.15,2010-07-27,
61,341,1.03128,1999-06-02,
61,415,2.57819,2003-03-07,
63,341,1.03128,1999-06-03,
63,415,2.57819,2003-03-07,
66,341,0.541,1997-05-01,
66,385,0.08115,2003-03-07,
66,415,1.35249,2003-03-07,
66,1574,0.25,2004-07-07,
67,341,0.50719,1997-05-01,
67,385,0.07608,2004-02-03,
67,415,1.26796,2003-03-12,
68,341,1.29332,1999-06-03,
68,415,3.2333100000000004,2003-03-12,
68,428,0.38797,2004-02-13,
68,385,0.19399,2004-02-13,
69,341,1.05664,1999-06-03,
69,415,2.64159,2003-03-12,
70,341,1.05664,1999-06-03,
70,415,2.64159,2003-03-12,
71,341,1.05664,1999-06-03,
71,415,2.64159,2003-03-12,
71,389,1.8491,2010-07-27,
72,341,1.03128,1999-06-03,
72,415,2.57819,2003-03-12,
73,341,1.03973,1999-06-03,
73,415,2.59932,2003-03-12,
74,341,1.0354999999999999,1999-06-03,
74,415,2.5887599999999997,2003-03-12,
75,341,0.9603,2008-02-22,
75,415,2.4008000000000003,2008-02-22,
76,341,0.9603,2008-02-22,
76,415,2.4008000000000003,2008-02-22,
77,341,1.03973,1999-06-16,
77,415,2.59932,2003-03-12,
78,341,0.24091,1997-05-01,
78,385,0.03614,2004-02-03,
78,415,0.60228,2003-03-12,
79,341,1.03973,1999-06-16,
79,415,2.59932,2003-03-12,
80,341,0.61285,1997-05-01,
80,385,0.09193,2004-02-03,
80,415,1.53212,2003-03-12,
83,370,0.35926,1997-05-01,
83,988,0.8981399999999999,2003-03-12,
83,989,0.05388,2004-02-03,
84,370,0.35926,1997-05-01,
84,988,0.8981399999999999,2003-03-12,
84,989,0.05388,2004-02-03,
86,370,0.45224,1997-05-01,
86,988,1.1306,2003-03-12,
87,370,0.28318,1997-05-01,
87,988,0.70795,2003-03-12,
87,989,0.042480000000000004,2004-02-03,
88,90,0.7,1997-05-01,
88,990,0.5,2003-03-13,
89,90,1.44,1997-05-01,
89,990,0.5,2003-03-13,
89,1611,0.72,2004-09-01,
90,90,0.09,1997-05-01,
90,990,0.5,2003-03-12,
90,1612,0.9,2006-11-29,
91,90,0.79,2006-11-29,
91,990,0.5,2003-03-12,
92,385,0.14392,2023-05-26,
