FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName
2,2,22,20,Cheese souffle,Soufflé au fromage,2012-06-28,,,
4,4,22,20,"Chop suey, with meat, canned","Chop suey, avec viande, conserve",2026-01-28,,,
5,5,22,0,"Chinese dish, chow mein, chicken","Mets chinois, chow mein, poulet",2026-01-28,,36623.0,
6,6,18,20,Corn fritter,"Maïs, beignet",2026-01-28,,,
7,7,22,37,"Frozen entree, beef pot roast with potatoes and vegetables, heated","Met surgelé, b?uf braisé, pomme de terre et légumes, réchauffé",2026-01-28,,,
8,8,22,37,"Frozen entree, fried chicken with mashed potatoes and vegetables, heated","Met surgelé, poulet frit avec pommes de terre en purée et légumes, réchauffé",2026-01-28,,,
9,9,22,11,"Meat loaf with tomato sauce, mashed potatoes and peas","Pain de viande avec sauce aux tomates, pommes de terre en purée et pois",2026-01-28,,,
10,10,22,37,"Frozen entree, turkey with potato, vegetables and gravy, heated","Met surgelé, dinde avec pommes de terre, légumes et sauce, réchauffé",2026-01-28,,28145210.0,
13,13,2,20,"Vinegar, cider","Vinaigre, cidre",2026-01-28,,2048.0,
14,14,2,0,"Vinegar, distilled (white)","Vinaigre, distillé (blanc)",2012-06-29,,2053.0,
16,16,1,0,"Butter, whipped","Beurre, fouetté",2026-01-28,,1002.0,
17,17,1,0,"Butter oil, anhydrous","Huile de beurre, anhydre",2012-06-26,,1003.0,
18,18,1,3,"Cheese, blue",Fromage bleu,2012-07-24,,1004.0,
19,19,1,37,"Cheese, brick",Fromage brick,2026-01-28,,1005.0,
20,20,1,37,"Cheese, brie",Fromage brie,2026-01-28,,1006.0,
21,21,1,0,"Cheese, camembert",Fromage camembert,2012-07-24,,1007.0,
22,22,1,0,"Cheese, caraway",Fromage carvi,2012-07-24,,1008.0,
23,23,1,0,"Cheese, cheshire",Fromage cheshire,2012-07-24,,1010.0,
24,24,1,0,"Cheese, colby",Fromage colby,2012-07-24,,1011.0,
25,25,1,0,"Cheese, cottage, creamed (4.5% M.F.)","Fromage cottage en crème (4,5% M.G.)",2026-01-27,,1012.0,
26,26,1,0,"Cheese, cottage, creamed with fruit",Fromage cottage en crème avec fruits,2012-06-29,,1013.0,
