FoodID,YieldID,YieldAmount,YieldDateofEntry
57,985,21.959,2004-08-12
57,1391,1.318,2004-08-12
66,985,31.72,2016-08-10
67,985,25.34,2004-08-12
112,985,133.136,2012-08-28
115,993,24.303,2004-08-12
126,940,68.9,2001-07-04
127,940,31.076,2001-07-04
134,985,25.04,2016-08-10
140,985,133.136,2012-08-28
555,464,10.46,1997-05-01
556,1395,1026.67004,2023-05-26
556,686,339.5,2003-10-28
556,682,67.02,2018-11-14
557,1395,706.66998,2003-10-28
557,686,233.69,2003-10-28
557,682,67.02,2006-10-30
558,1395,683.33002,2023-05-26
558,686,225.97,2003-10-28
558,682,70.54,2006-10-31
559,1395,750.0,2003-10-28
559,686,248.01601,2003-10-28
559,682,74.07,2006-11-01
560,686,304.233,2003-10-28
561,1398,932.0,2003-10-02
561,686,309.0,2003-10-02
561,682,67.02,2018-11-14
562,686,207.0,2003-10-02
562,682,67.02,2006-10-30
563,1398,598.0,2003-10-02
563,686,196.0,2003-10-02
563,682,70.54,2006-10-31
564,686,221.0,2003-10-02
564,682,74.07,2006-11-01
565,1398,658.0,2003-10-02
565,686,217.0,2003-10-02
566,1398,516.0,2003-10-02
566,686,171.0,2003-10-02
566,1644,67.019,2006-11-01
567,1398,486.0,2003-10-02
567,686,161.0,2003-10-02
567,682,77.601,2006-10-30
568,1398,524.0,2003-10-02
568,686,173.0,2003-10-02
568,682,77.601,2006-10-30
569,686,126.0,2003-10-02
570,686,36.0,2003-10-02
571,464,0.75,1997-05-01
571,686,25.0,2003-10-02
572,686,14.0,2003-10-02
573,686,15.432,1997-05-01
574,686,12.125,1997-05-01
575,683,59.964,2006-11-01
576,686,1.984,1997-05-01
577,683,45.855,2006-11-01
578,686,11.023,1997-05-01
579,683,63.492,2006-11-01
580,686,127.866,1997-05-01
581,686,124.559,1997-05-01
581,682,74.07,2006-10-31
582,686,85.979,1997-05-01
582,682,74.074,2006-10-31
583,686,87.081,1997-05-01
583,682,67.019,2006-10-31
584,686,99.206,1997-05-01
584,682,67.02,2006-11-01
585,686,176.367,1997-05-01
586,686,184.08299,1997-05-01
586,682,74.07,2006-10-31
587,686,121.252,1997-05-01
587,682,67.02,2006-10-30
588,686,111.332,1997-05-01
588,682,70.547,2006-10-31
589,686,121.252,1997-05-01
589,682,77.601,2006-11-01
590,686,97.002,1997-05-01
591,686,70.547,1997-05-01
591,1644,63.492,2006-11-01
592,686,70.547,1997-05-01
592,682,77.601,2006-10-30
593,686,78.263,1997-05-01
593,682,77.601,2006-10-30
594,686,120.15,1997-05-01
595,686,100.309,1997-05-01
595,1644,67.019,2006-11-01
596,686,89.286,1997-05-01
596,682,77.601,2006-10-30
597,686,94.797,1997-05-01
597,682,77.601,2006-10-30
598,686,79.365,1997-05-01
598,1642,67.019,2006-10-31
599,686,48.501,1997-05-01
599,1642,42.328,2006-10-31
600,686,38.58,1997-05-01
600,1643,38.8,2006-11-01
601,686,92.593,1997-05-01
601,682,74.07,2006-10-31
602,686,65.035,1997-05-01
602,682,74.074,2006-10-31
603,686,57.319,1997-05-01
603,1644,63.492,2006-11-01
604,686,47.399,1997-05-01
604,1642,63.492,2006-11-01
605,686,31.966,1997-05-01
605,1642,52.91,2006-11-01
606,686,27.557,1997-05-01
606,1642,49.383,2006-11-01
607,686,111.332,1997-05-01
608,686,104.718,1997-05-01
608,1642,67.019,2006-11-01
609,686,73.854,1997-05-01
609,1642,49.383,2006-11-01
611,686,82.672,1997-05-01
611,1642,52.91,2006-11-01
612,686,85.979,1997-05-01
613,686,61.728,1997-05-01
613,1642,67.019,2006-11-01
615,686,66.138,1997-05-01
615,1643,45.855,2006-11-02
616,686,16.534,1997-05-01
617,686,17.637,1997-05-01
617,1642,67.019,2006-10-31
618,686,12.125,1997-05-01
618,1642,45.855,2006-10-31
619,686,12.125,1997-05-01
619,1642,45.855,2006-11-01
620,686,6.614,1997-05-01
621,686,7.716,1997-05-01
621,1643,38.8,2006-11-01
622,686,5.511,1997-05-01
622,1643,38.8,2006-11-01
623,686,57.319,1997-05-01
623,682,74.07,2006-10-31
624,686,41.887,1997-05-01
624,682,67.02,2006-10-30
625,686,34.171,1997-05-01
625,1644,67.019,2006-11-01
626,686,31.966,1997-05-01
627,686,31.966,1997-05-01
627,1642,52.91,2006-10-30
628,686,20.944,1997-05-01
628,1642,35.273,2006-10-30
629,686,23.148,1997-05-01
629,1642,35.273,2006-10-30
630,686,26.455,1997-05-01
630,1642,42.328,2006-11-01
631,686,18.739,1997-05-01
632,686,13.228,1997-05-01
632,1643,28.219,2006-10-30
633,686,14.33,1997-05-01
633,1642,28.219,2006-10-30
634,686,15.432,1997-05-01
634,1642,28.219,2006-10-30
635,465,15.09,1997-05-01
635,682,74.547,2006-10-31
636,664,1072.0,1997-05-01
636,686,259.039,1997-05-01
636,682,70.547,2006-10-31
638,686,231.481,1997-05-01
638,682,70.547,2006-10-31
639,686,230.379,1997-05-01
640,686,188.492,1997-05-01
640,682,77.601,2006-10-30
641,465,1.13,1997-05-01
641,686,27.557,1997-05-01
642,686,16.534,1997-05-01
643,686,105.82,1997-05-01
644,686,85.979,1997-05-01
644,682,77.601,2006-10-30
645,463,9.05,1997-05-01
646,666,593.0,1997-05-01
646,686,222.66299,1997-05-01
646,682,74.07,2006-11-01
647,686,298.72101,1997-05-01
648,686,196.20799,1997-05-01
648,682,74.07,2006-11-01
649,686,213.845,1997-05-01
650,463,0.81,1997-05-01
650,686,30.864,1997-05-01
651,666,50.0,1997-05-01
652,686,98.104,1997-05-01
653,686,70.547,1997-05-01
653,682,77.601,2006-10-30
654,686,115.741,1997-05-01
655,686,80.467,1997-05-01
655,682,77.601,2006-10-30
657,686,240.3,1997-05-01
657,682,70.547,2006-10-31
658,686,327.38101,1997-05-01
659,686,216.049,1997-05-01
659,682,70.547,2006-10-31
660,466,1.15,1997-05-01
660,686,19.841,1997-05-01
661,665,47.943,2004-02-02
662,686,316.358,1997-05-01
663,686,190.69701,1997-05-01
663,1642,42.328,2006-10-30
664,686,151.01401,1997-05-01
665,686,110.229,1997-05-01
665,1643,35.273,2006-10-30
666,686,11.023,1997-05-01
667,686,263.448,1997-05-01
668,686,80.467,1997-05-01
669,686,352.73401,1997-05-01
670,686,207.231,1997-05-01
671,686,203.924,1997-05-01
672,686,157.62801,1997-05-01
673,686,12.125,1997-05-01
674,686,395.72299,1997-05-01
675,686,303.13101,1997-05-01
676,686,408.95099,1997-05-01
