YieldID,YieldDescription,YieldDescriptionF
455,amount to make 100ml,quantité requise pour préparer 100ml
457,yield from 1 coconut,rendement d'une noix de coco
458,yield from 1 ear,rendement d'un épi
460,yield from 1 fruit,rendement d'un fruit
461,yield from 1 fruit (6.7cm dia),rendement d'un fruit (6.7cm dia)
463,yield from 1331g bird,rendement d'une volaille de 1331g
464,yield from 1512g bird,rendement d'une volaille de 1512g
465,yield from 2068g bird,rendement d'une volaille de 2068g
466,yield from 2949g bird,rendement d'une volaille de 2949g
470,yield from 7015g bird,rendement d'une volaille de 7015g
642,1 crayfish with shell (30g),1 écrevisse avec coquille (30g)
644,"1 package, dry (10.8g)","1 paquet, sec (10.8g)"
645,"1 package, dry (156g)","1 paquet, sec (156g)"
646,"1 package, dry (2.5g)","1 paquet, sec (2.5g)"
649,"1 package, dry (21.3g)","1 paquet, sec (21.3g)"
650,"1 package, dry (21g)","1 paquet, sec (21g)"
651,"1 package, dry (22g)","1 paquet, sec (22g)"
652,"1 package, dry (23g)","1 paquet, sec (23g)"
653,"1 package, dry (24.8g)","1 paquet, sec (24.8g)"
654,"1 package, dry (25g)","1 paquet, sec (25g)"
656,"1 package, dry (27g)","1 paquet, sec (27g)"
659,"1 package, dry (57g)","1 paquet, sec (57g)"
664,1 raw chicken (1511g),1 poulet cru (1511g)
665,1 raw chicken (1977g),1 poulet cru (1977g)
666,1 raw chicken (864g),1 poulet cru (864g)
670,1 raw crab,1 crabe cru
671,1 raw leg,1 cuisse crue
675,1 raw patty (65g),1 boulette cru (65g)
680,100 ml dry,100 ml sec
681,100 g as purchased,100 g tel qu'acheté
682,100 g raw boneless,"100 g cru, désossé"
683,100 g raw as purchased,"100 g acheté, cru"
684,100 g raw fillet,100 g filet cru
686,"500 g of raw whole bird, as purchased (including bones)","500 g cru, volaille entière, à l'achat (incluant os)"
921,amount to make 125ml,quantité requise pour préparer 125ml
922,"100 g raw part, as purchased (including bones)","100 g cru, tel qu'acheté (incluant os)"
940,100 g whole egg liquid yields,100 g - rendement oeuf entier liquide
985,amount to make 250ml,quantité requise pour préparer 250ml
993,amount to make 250ml of reconstituted milk,quantité requise pour préparer 250ml de lait reconstitué
1044,1 fruit yields,"1 fruit, rendement"
1045,1 wedge yields,1 quartier donne
1327,"250 ml with shell, yields",250 ml avec écales - rendement
1365,amount to make 1 medium,quantité requise pour préparer 1 moyenne
1371,amount to make 1 small,quantité requise pour préparer 1 petit
1372,amount to make 2 small,quantité requise pour préparer 2 petits
1390,amount to make 60ml,quantité requise pour préparer 60ml
1391,amount to make 15ml,quantité requise pour préparer 15ml
1395,1 raw chicken (1512g),1 poulet cru (1512g)
1398,1 raw chicken (1358g),1 poulet cru (1358g)
1502,amount to make 55g,quantité requise pour préparer 55g
1504,amount to make 100g prepared,quantité requise pour préparer 100g
1506,amount to make 1/2 slice,quantité requise pour préparer 1/2 tranche
1512,amount to make 80g,quantité requise pour préparer 80g
1513,amount to make 1/12 cake,quantité requise pour préparer 1/12 gâteau
1514,amount to make 1/9 cake,quantité requise pour préparer 1/9 gâteau
1516,amount to make 1/8 cake,quantité requise pour préparer 1/8 gâteau
1519,amount to make 1 cookie,quantité requise pour préparer 1 biscuit
1520,amount to make 40g,quantité requise pour préparer 40g
1523,amount to make 2 cookies,quantité requise pour préparer 2 biscuits
1524,amount to make 30g,quantité requise pour préparer 30g
1548,amount to make 1/2 medium muffin,quantité requise pour préparer 1/2 muffin moyen
1549,amount to make 55g muffin,quantité requise pour préparer muffin de 55g
1551,amount to make 75g pancake,quantité requise pour préparer crêpe de 75g
1553,amount to make 1/6 crust (20cm dia),quantité requise pour préparer 1/6 croûte (20cm dia)
1554,amount to make 1 popover,quantité requise pour préparer 1 popover
1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit
1584,amount to make 140g,quantité requise pour préparer 140g
1588,amount to make 105ml,quantité requise pour préparer 105ml
1591,amount to make 175ml,quantité requise pour préparer 175ml
1598,amount to make 35ml,quantité requise pour préparer 35ml
1642,100 g raw with bones (yield after cooking bone removed),"100 g cru avec os (rendement après cuisson, désossé)"
1643,100 g raw skinless with bones (yield after cooking bone removed),"100 g cru, sans peau, avec os (rendement après cuisson, désossé)"
1644,100 g raw skinless boneless (yield after cooking),"100 g cru, sans peau, désossé (rendement après cuisson)"
500921,"1 pizza (10"" dia)","1 pizza (10"" dia)"
501775,"1 miniature pizza (5"" dia)","1 pizza miniature (5"" dia)"
501875,"1 pizza (9"" dia)","1 pizza (9"" dia)"
502400,"1 pizza (11"" dia)","1 pizza (11"" dia)"
502455,"100 g raw as purchased, with skin, (including bone)","100 g cru, à l'achat, avec peau (incluant os)"
502461,amount to make 50g,quantité requise pour préparer 50g
502522,"454 g (with shell), yield after shell removed","454 g (avec coquille), rendement après retrait de la coquille"
502699,amount to make 375ml,quantité requise pour préparer 375ml
