ImpactCategory,ImpactFactor
Fine particulate matter formation,65.934
Fossil resource scarcity,0.571
Freshwater ecotoxicity,0.053
Freshwater eutrophication,2.725
Global warming,0.084
Human carcinogenic toxicity,0.131
Human non-carcinogenic toxicity,0.131
Ionizing radiation,0.001
Land use,0.185
Marine ecotoxicity,0.011
Marine eutrophication,4.557
Mineral resource scarcity,0.293
"Ozone formation, Human health",0.097
"Ozone formation, Terrestrial ecosystems",0.014
Stratospheric ozone depletion,180.22
Terrestrial acidification,10.96
Terrestrial ecotoxicity,12.733
Water consumption,0.066
