YieldID,YieldDescription,YieldDescriptionF
455.0,amount to make 100ml,quantité requise pour préparer  100ml
457.0,yield from 1 coconut,rendement d'une noix de coco
458.0,yield from 1 ear,rendement d'un épi
460.0,yield from 1 fruit,rendement d'un fruit
461.0,yield from 1 fruit (6.7cm dia),rendement d'un fruit (6.7cm dia)
463.0,yield from 1331g bird,rendement d'une volaille de 1331g
464.0,yield from 1512g bird,rendement d'une volaille de 1512g
465.0,yield from 2068g bird,rendement d'une volaille de 2068g
466.0,yield from 2949g bird,rendement d'une volaille de 2949g
470.0,yield from 7015g bird,rendement d'une volaille de 7015g
642.0,1 crayfish with shell (30g),1 écrevisse avec coquille (30g)
644.0,"1 package, dry (10.8g)","1 paquet, sec (10.8g)"
645.0,"1 package, dry (156g)","1 paquet, sec (156g)"
646.0,"1 package, dry (2.5g)","1 paquet, sec (2.5g)"
649.0,"1 package, dry (21.3g)","1 paquet, sec (21.3g)"
650.0,"1 package, dry (21g)","1 paquet, sec (21g)"
651.0,"1 package, dry (22g)","1 paquet, sec (22g)"
652.0,"1 package, dry (23g)","1 paquet, sec (23g)"
653.0,"1 package, dry (24.8g)","1 paquet, sec (24.8)"
654.0,"1 package, dry (25g)","1 paquet, sec (25g)"
656.0,"1 package, dry (27g)","1 paquet, sec (27g)"
659.0,"1 package, dry (57g)","1 paquet, sec (57g)"
664.0,1 raw chicken (1511g),1 poulet cru (1511g)
665.0,1 raw chicken (1977g),1 poulet cru (1977g)
666.0,1 raw chicken (864g),1 poulet cru (864g)
670.0,1 raw crab,1 crabe cru
671.0,1 raw leg,1 cuisse crue
675.0,1 raw patty (65g),1 boulette crue (65g)
680.0,100ml dry,100ml sec
681.0,100g as purchased,100g tel qu'acheté
682.0,100g raw boneless,"100g cru, désossé"
683.0,100g raw as purchased,"100g  acheté, cru"
684.0,100g raw fillet,100g filet cru
686.0,"500g of raw whole bird, as purchased (including bones)","500g cru, volaille entière, à l'achat (avec os)"
921.0,amount to make 125ml,quantité requise pour préparer 125ml
922.0,"100g raw part, as purchased (including bones)","100g cru, tel qu'acheté (incluant os)"
940.0,100g whole egg liquid yields,100g - oeuf entier liquide
985.0,amount to make 250ml,quantité requise pour préparer 250ml
993.0,amount to make 250ml of reconstituted milk,quantité requise pour préparer 250ml de lait reconstitué
1044.0,1 fruit yields,"1 fruit, rendement"
1045.0,1 wedge yields,1 quartier donne
1327.0,"250ml with shell, yields",250ml avec écales - rendement
1342.0,amount to make 125ml elbows,quantité requise pour préparer 125ml coudes
1365.0,amount to make 1 medium,quantité requise pour préparer 1 moyenne
1371.0,amount to make 1 small,quantité requise pour préparer 1 petit
1372.0,amount to make 2 small,quantité pour préparer 2 petits
1390.0,amount to make 60ml,quantité requise pour préparer 60ml
1391.0,amount to make 15ml,quantité requise pour préparer 15ml
1395.0,1 raw chicken (1512g),1 poulet cru (1512g)
1398.0,1 raw chicken (1358g),1 poulet cru (1358g)
1502.0,amount to make 55g,quantité requise pour préparer 55g
1504.0,amount to make 100g prepared,quantité requise pour préparer 100g
1506.0,amount to make 1/2 slice,quantité requise pour préparer 1/2 tranche
1512.0,amount to make 80g,quantité requise  pour préparer 80g
1513.0,amount to make 1/12 cake,quantité requise pour préparer 1/12 gâteau
1514.0,amount to make 1/9 cake,quantité requise pour préparer 1/9 gâteau
1516.0,amount to make 1/8 cake,quantité requise pour préparer 1/8 gâteau
1519.0,amount to make 1 cookie,quantité requise pour préparer 1 biscuit
1520.0,amount to make 40g,quantité requise pour préparer 40g
1523.0,amount to make 2 cookies,quantité requise pour préparer 2 biscuits
1524.0,amount to make 30g,quantité pour préparer 30g
1548.0,amount to make 1/2 medium muffin,quantité requise pour préparer 1/2 muffin moyen
1549.0,amount to make 55g muffin,quantité requise pour préparer muffin de 55g
1551.0,amount to make 75g pancake,quantité requise pour préparer crêpe de 75g
1553.0,amount to make 1/6 crust (20cm dia),quantité requise pour préparer 1/6 croûte (20cm dia)
1554.0,amount to make 1 popover,quantité requise pour préparer 1 popover
1582.0,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit
1584.0,amount to make 140g,quantité requise pour préparer 140g
1588.0,amount to make 105ml,quantité requise pour préparer  105ml
1591.0,amount to make 175ml,quantité requise pour préparer 175ml
1598.0,amount to make 35ml,quantité pour préparer 35ml
1642.0,100g raw with bones (yield after cooking bone removed),"100g cru avec os (rendement après cuisson, désossé)"
1643.0,100g raw skinless with bones (yield after cooking bone removed),"100g cru, sans peau, avec os (rendement après cuisson, désossé)"
1644.0,100g raw skinless boneless (yield after cooking),"100g cru, sans peau, désossé (rendement après cuisson)"
502455.0,"100g raw as purchased, with skin, (including bone)","100g cru, à l'achat, avec peau (incluant os)"
502460.0,amount to make 500ml,quantité requise pour préparer 500ml
502461.0,amount to make 50g,quantité requise pour préparer 50g
502466.0,amount to make 2 eggs,quantité pour préparer 2 oeufs
502522.0,"454g (with shell), yield after shell removed","454g (avec coquille), rendement après retrait de la coquille
"
