day_id,label,stratum,overlay_mode,n_swaps,baseline_hefi,modified_hefi,delta_hefi,improved_hefi,baseline_heni_min,modified_heni_min,delta_heni_min,improved_heni,baseline_fcs,modified_fcs,delta_fcs,baseline_env,modified_env,delta_env,improved_env,win_win_heni_env,s4_baseline_hefi,s4_baseline_env_gw
D01,Deep-fried anti-pattern day,western_processed,greedy_reformulation,4,14.055904253687784,28.047295113664617,13.9914,True,25.78,25.43,-0.35,True,1.0,1.0,0.0,0.0003182059310703894,0.0003182059310703894,0.0,,False,14.055904253687784,0.3549560541806174
D02,Mixed-balanced representative day,north_american,greedy_reformulation,4,51.52495098309356,51.27507099985036,-0.2499,False,-26.98,-35.44,-8.46,True,30.85,52.77,21.92,0.00019227034935577977,0.00013736524002497865,-0.0001,True,True,51.52495098309356,0.6180024720794733
D05,Indian vegetarian thali day,vegetarian,greedy_reformulation,4,41.102766607553086,45.58681185722928,4.484,True,-21.38,-24.05,-2.67,True,51.32,54.78,3.46,0.00012274077330065827,8.156194130255744e-05,-0.0,,False,41.102766607553086,0.5144620292232128
D06,BBQ pulled-pork Western day,western_processed,greedy_reformulation,4,21.56460473178891,52.769757137017464,31.2052,True,7.49,-19.72,-27.21,True,1.0,26.06,25.06,0.0007811835393512856,0.00010385614867700969,-0.0007,True,True,21.56460473178891,1.5612873773111158
D09,DASH-style day,dash,greedy_reformulation,4,61.61889439410457,61.585545783428174,-0.0333,False,-63.17,-63.25,-0.08,True,73.3,78.19,4.89,0.00017875558117659294,0.00017875558117659294,0.0,,False,61.61889439410457,0.5103184984605785
D13,Fast-food burger meal day,western_processed,greedy_reformulation,4,21.80935379948978,58.279524610937216,36.4702,True,4.02,-27.66,-31.68,True,11.04,44.07,33.03,0.000676384428578586,9.777734052783692e-05,-0.0006,True,True,21.80935379948978,1.5147647008765208
D16,Sweet-beverage breakfast day,western_processed,greedy_reformulation,4,31.233317724290302,37.583567190323045,6.3502,True,-24.25,-41.64,-17.39,True,36.11,46.17,10.06,0.0001598732036022287,0.0001598732036022287,0.0,,False,31.233317724290302,0.5595351237469525
D17,Active adult 6-occasion day,north_american,greedy_reformulation,4,42.55057879403119,45.51209802022212,2.9615,True,-50.15,-72.51,-22.36,True,45.98,64.0,18.02,0.0007555716983114952,0.00019113220608293197,-0.0006,True,True,42.55057879403119,1.1527155569540535
D18,Beef-steak heavy day,red_meat,greedy_reformulation,4,28.523652794921105,39.919625525419704,11.396,True,7.86,-17.41,-25.27,True,17.27,46.94,29.67,0.0008964482330948468,8.895713412596131e-05,-0.0008,True,True,28.523652794921105,1.85589364897955
D20,High-dairy day,dairy_heavy,greedy_reformulation,4,5.908515030695492,20.84226730147412,14.9338,True,27.05,12.59,-14.46,True,1.0,1.0,0.0,0.0003337679399940395,0.00020199567760011692,-0.0001,True,True,5.908515030695492,0.7604443599262866
D22,Ramen + processed meat day,ultra_processed,greedy_reformulation,4,22.924657151770965,39.286815398449875,16.3622,True,5.72,-0.38,-6.1,True,1.0,1.0,0.0,8.717768130944293e-05,8.717768130944293e-05,0.0,,False,22.924657151770965,0.2564376535954696
D23,Sedentary 3-meal day,north_american,greedy_reformulation,4,33.61897627770133,38.20667506887046,4.5877,True,-9.8,-35.88,-26.08,True,1.0,24.22,23.22,0.0005230114630837407,9.181335893389747e-05,-0.0004,True,True,33.61897627770133,1.2084735897172003
D24,Youth lunchbox day,north_american,greedy_reformulation,4,28.153502416053474,37.032530869155494,8.879,True,-34.1,-34.07,0.03,False,9.56,28.78,19.22,0.00012602069498377378,5.7389308320272446e-05,-0.0001,True,False,28.153502416053474,0.519453192384575
D25,Elderly light tea-and-toast day,light,greedy_reformulation,4,45.940151019680904,55.949405078594936,10.0093,True,-30.79,-33.12,-2.33,True,54.96,58.23,3.27,6.36584930428029e-05,6.36584930428029e-05,0.0,,False,45.940151019680904,0.40594430856185815
